building,lat,long,name,url
Biochemical Sciences Building, 43.07467897386594, -89.4112752014496 ,301 biochem,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527207230122365636_base64_5_1676911523.jpg?alt=media
Biochemical Sciences Building, 43.07467897386594, -89.4112752014496 ,Biochem 4th floor kitchen,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527208630123435055_base64_5_1676911663.jpg?alt=media
Biochemical Sciences Building, 43.07467897386594, -89.4112752014496 ,Biochem lobby,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527227890123351145_base64_5_1676913589.jpg?alt=media
Biochemical Sciences Building, 43.07467897386594, -89.4112752014496 ,Biochem basement small study area,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527237560122269480_base64_5_1676914556.jpg?alt=media
Biochemical Sciences Building, 43.07467897386594, -89.4112752014496 ,Badger market in basement of Biochem,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527228750128953943_base64_5_1676913675.jpg?alt=media
Biochemical Sciences Building, 43.07467897386594, -89.4112752014496 ,biochem stairway lobbies - top one is the best. Has a ping pong table,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527206300123417205_base64_5_1676911430.jpg?alt=media
Biochemical Sciences Building, 43.07467897386594, -89.4112752014496 ,Biochem lobby pod,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527204300127888446_base64_5_1676911230.jpg?alt=media
Biochemical Sciences Building, 43.07467897386594, -89.4112752014496 ,Biochem 1st floor lobby,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527232410126795157_base64_5_1676914041.jpg?alt=media
Biochemical Sciences Building, 43.07467897386594, -89.4112752014496 ,Cursed bench with cursed table 5th floor Biochemistry,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527210880124915401_base64_5_1676911889.jpg?alt=media
Birge Hall, 43.07460063802093, -89.40372976123513 ,2nd floor Birge chair and desk,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2087.jpg?alt=media
Birge Hall, 43.07460063802093, -89.40372976123513 ,Table in basement of birge,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2082.jpg?alt=media
Birge Hall, 43.07460063802093, -89.40372976123513 ,4th floor Birge desk,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2086.jpg?alt=media
Birge Hall, 43.07460063802093, -89.40372976123513 ,Birge lobby,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2088.jpg?alt=media
Birge Hall, 43.07460063802093, -89.40372976123513 ,Birge b2 desks,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2089.jpg?alt=media
Birge Hall, 43.07460063802093, -89.40372976123513 ,Birge herbarium,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2081.jpg?alt=media
